preferred_candidate <- ...,age,gender,race,education_level,state,urban
Joe Biden,65,male,hispanic,High school graduate,Pennsylvania,0
Joe Biden,57,female,black,2-year,Tennessee,1
Joe Biden,80,female,other,4-year,Ohio,1
Donald Trump,24,female,black,Some college,Colorado,1
Joe Biden,20,male,black,Some college,Connecticut,1
Joe Biden,76,female,chinese,2-year,New York,0
Joe Biden,80,female,chinese,Post-grad,Texas,1
Donald Trump,94,male,other,High school graduate,New York,1
Donald Trump,94,female,asian,No HS,Idaho,1
Joe Biden,23,female,other,High school graduate,Pennsylvania,0
Joe Biden,34,female,asian,2-year,Ohio,0
Donald Trump,91,male,middle eastern,2-year,Kentucky,0
Donald Trump,63,female,asian,High school graduate,Arkansas,1
Donald Trump,97,female,chinese,No HS,New Hampshire,1
Donald Trump,59,female,south asian,High school graduate,Utah,1
Donald Trump,82,female,black,No HS,Oregon,1
Donald Trump,18,male,hispanic,No HS,Colorado,0
Donald Trump,75,female,asian,4-year,Pennsylvania,1
Joe Biden,39,male,pacific islander,4-year,Arizona,1
Donald Trump,38,female,native american,High school graduate,Indiana,0
Donald Trump,44,female,asian,No HS,Arizona,0
Donald Trump,65,female,black,4-year,New Jersey,1
Joe Biden,26,female,south asian,Some college,Connecticut,0
Donald Trump,77,male,chinese,4-year,South Dakota,0
Joe Biden,82,male,white,High school graduate,Tennessee,0
Donald Trump,46,male,south asian,High school graduate,Iowa,0
Joe Biden,67,female,south asian,Post-grad,Florida,1
Joe Biden,49,male,native american,2-year,Rhode Island,0
Joe Biden,54,male,chinese,High school graduate,Kansas,0
Donald Trump,94,female,japanese,4-year,California,1
Joe Biden,41,female,native american,Post-grad,Arizona,0
Joe Biden,84,female,asian,4-year,Montana,0
Donald Trump,72,male,asian,No HS,Washington,1
Joe Biden,40,male,middle eastern,Post-grad,Mississippi,0
Joe Biden,30,male,native american,2-year,Arkansas,1
Donald Trump,28,male,middle eastern,Some college,Vermont,0
Donald Trump,18,female,black,High school graduate,Missouri,1
Joe Biden,73,male,pacific islander,Some college,Alabama,1
Donald Trump,57,male,hispanic,No HS,Ohio,1
Joe Biden,62,female,asian,Some college,North Dakota,0
Donald Trump,21,male,native american,4-year,Arkansas,1
Joe Biden,27,female,native american,Post-grad,Iowa,1
Joe Biden,89,female,asian,No HS,New Mexico,1
Donald Trump,51,male,black,Some college,Louisiana,0
Joe Biden,81,female,white,4-year,Pennsylvania,1
Donald Trump,76,male,asian,Some college,Nebraska,1
Donald Trump,64,female,middle eastern,Some college,Oregon,1
Joe Biden,44,female,other,High school graduate,Alaska,1
Joe Biden,82,female,pacific islander,2-year,Louisiana,1
Donald Trump,73,female,asian,Post-grad,Maine,1
Donald Trump,58,female,middle eastern,Some college,Rhode Island,0
Donald Trump,53,male,pacific islander,No HS,Texas,0
Donald Trump,28,female,chinese,2-year,Iowa,1
Joe Biden,77,female,hispanic,No HS,Alaska,1
Donald Trump,72,male,asian,Some college,Wisconsin,1
Donald Trump,61,female,black,High school graduate,New Mexico,0
Joe Biden,51,male,south asian,2-year,Iowa,0
Joe Biden,58,female,middle eastern,4-year,Illinois,0
Joe Biden,43,female,middle eastern,Some college,Connecticut,1
Donald Trump,23,male,black,Post-grad,Nevada,1
Joe Biden,71,female,black,4-year,Georgia,1
Joe Biden,74,female,black,Post-grad,Louisiana,1
Joe Biden,86,male,hispanic,4-year,Pennsylvania,1
Joe Biden,18,female,asian,2-year,Washington,0
Donald Trump,47,male,other,4-year,New Jersey,0
Joe Biden,33,male,hispanic,High school graduate,Missouri,0
Donald Trump,79,male,pacific islander,Post-grad,Minnesota,0
Donald Trump,71,male,middle eastern,Some college,Montana,0
Joe Biden,64,male,other,4-year,Mississippi,1
Donald Trump,76,female,black,High school graduate,Arkansas,0
Donald Trump,70,female,white,No HS,Alabama,1
Joe Biden,22,female,black,High school graduate,Alabama,0
Donald Trump,50,male,white,Post-grad,Pennsylvania,1
Joe Biden,27,male,other,High school graduate,South Carolina,0
Joe Biden,75,female,white,4-year,Oklahoma,0
Joe Biden,51,male,japanese,No HS,Arizona,1
Joe Biden,37,male,chinese,Some college,New Jersey,1
Joe Biden,49,female,hispanic,4-year,Pennsylvania,0
Joe Biden,18,male,asian,Some college,Florida,1
Donald Trump,91,male,chinese,Some college,Wisconsin,1
Donald Trump,23,male,chinese,2-year,Louisiana,0
Joe Biden,24,male,hispanic,2-year,Washington,0
Joe Biden,72,female,black,High school graduate,Arkansas,0
Joe Biden,93,male,black,4-year,Tennessee,0
Joe Biden,43,male,asian,4-year,Virginia,0
Donald Trump,43,male,asian,High school graduate,South Carolina,1
Donald Trump,68,female,middle eastern,4-year,Alabama,1
Joe Biden,99,male,asian,No HS,Mississippi,0
Joe Biden,33,male,asian,High school graduate,Vermont,1
Joe Biden,25,male,black,No HS,Minnesota,0
Joe Biden,32,male,black,No HS,Connecticut,1
Donald Trump,21,female,japanese,No HS,Pennsylvania,1
Joe Biden,83,female,japanese,High school graduate,Ohio,0
Donald Trump,48,female,japanese,Some college,California,0
Donald Trump,86,male,white,No HS,Maine,1
Donald Trump,45,male,black,Post-grad,Idaho,1
Donald Trump,31,female,chinese,High school graduate,Montana,0
Joe Biden,72,female,native american,2-year,Pennsylvania,1
Joe Biden,50,female,chinese,2-year,Massachusetts,0
Donald Trump,44,female,hispanic,Some college,Ohio,0
Donald Trump,33,female,native american,2-year,Wisconsin,0
Joe Biden,21,female,south asian,4-year,Utah,0
Donald Trump,92,female,native american,No HS,Tennessee,1
Donald Trump,60,female,native american,Post-grad,New Jersey,1
Donald Trump,33,female,black,High school graduate,Louisiana,0
Joe Biden,43,female,hispanic,Some college,Virginia,0
Joe Biden,54,male,white,No HS,Kansas,1
Donald Trump,91,male,chinese,Some college,Washington,1
Joe Biden,28,male,white,No HS,Montana,1
Donald Trump,70,female,asian,4-year,Alaska,1
Donald Trump,21,female,japanese,No HS,Massachusetts,1
Joe Biden,23,male,hispanic,No HS,Nebraska,0
Joe Biden,80,male,white,Post-grad,Nebraska,0
Donald Trump,68,male,hispanic,High school graduate,New Hampshire,1
Donald Trump,69,female,middle eastern,Post-grad,South Carolina,0
Joe Biden,23,female,pacific islander,High school graduate,Tennessee,0
Joe Biden,37,male,chinese,Some college,New Hampshire,1
Joe Biden,29,female,middle eastern,4-year,Wisconsin,1
Donald Trump,56,male,middle eastern,High school graduate,West Virginia,1
Joe Biden,67,female,japanese,No HS,Virginia,0
Joe Biden,30,male,pacific islander,2-year,New York,1
Joe Biden,61,male,asian,4-year,Tennessee,0
Joe Biden,79,female,native american,High school graduate,Virginia,0
Joe Biden,80,female,chinese,High school graduate,Kansas,1
Donald Trump,47,female,middle eastern,2-year,Alaska,0
Donald Trump,44,female,japanese,4-year,Rhode Island,0
Joe Biden,53,male,middle eastern,4-year,Maryland,0
Joe Biden,35,male,hispanic,Post-grad,Nevada,1
Joe Biden,97,female,other,Post-grad,Massachusetts,0
Donald Trump,95,male,hispanic,No HS,Washington,1
Donald Trump,60,male,middle eastern,Post-grad,Idaho,0
Joe Biden,47,male,hispanic,Post-grad,Massachusetts,1
Joe Biden,82,female,chinese,Post-grad,Georgia,1
Joe Biden,77,female,japanese,No HS,Alabama,1
Donald Trump,30,female,other,4-year,Kentucky,1
Joe Biden,36,female,middle eastern,No HS,New York,1
Joe Biden,75,male,black,4-year,Virginia,1
Donald Trump,73,female,asian,Post-grad,Illinois,0
Donald Trump,52,male,native american,Some college,New York,1
Joe Biden,69,female,other,No HS,Nevada,0
Joe Biden,27,male,japanese,4-year,Maryland,1
Joe Biden,23,female,asian,No HS,Rhode Island,1
Joe Biden,43,male,black,No HS,Montana,0
Donald Trump,22,female,japanese,2-year,South Dakota,1
Donald Trump,27,male,hispanic,High school graduate,Massachusetts,0
Joe Biden,20,female,asian,4-year,New Mexico,1
Donald Trump,90,male,pacific islander,Some college,Illinois,0
Joe Biden,42,female,asian,Post-grad,Hawaii,0
Joe Biden,20,female,asian,High school graduate,New Mexico,0
Joe Biden,71,male,japanese,No HS,Idaho,0
Donald Trump,46,female,chinese,2-year,Massachusetts,1
Donald Trump,74,male,black,Post-grad,California,0
Donald Trump,67,male,other,2-year,Ohio,1
Donald Trump,70,female,middle eastern,Post-grad,New Mexico,0
Donald Trump,77,male,asian,High school graduate,Washington,0
Donald Trump,68,male,south asian,High school graduate,Tennessee,0
Donald Trump,73,female,native american,2-year,South Carolina,1
Joe Biden,68,male,asian,Post-grad,Wisconsin,1
Joe Biden,83,male,pacific islander,2-year,Washington,1
Joe Biden,78,female,asian,Post-grad,Alaska,1
Joe Biden,66,female,asian,No HS,Arkansas,1
Donald Trump,19,male,middle eastern,2-year,Texas,0
Joe Biden,89,male,black,Post-grad,Indiana,0
Donald Trump,20,male,asian,Post-grad,Connecticut,0
Joe Biden,64,male,white,Post-grad,Washington,1
Donald Trump,65,male,black,Post-grad,Nevada,0
Joe Biden,36,male,black,High school graduate,Michigan,0
Donald Trump,50,male,asian,No HS,Wisconsin,1
Joe Biden,30,female,south asian,High school graduate,Kansas,0
Donald Trump,71,male,hispanic,No HS,Vermont,1
Joe Biden,67,male,asian,No HS,Montana,0
Donald Trump,35,female,south asian,4-year,North Carolina,0
Donald Trump,98,male,native american,Post-grad,Florida,0
Donald Trump,56,male,south asian,High school graduate,Nebraska,1
Joe Biden,30,female,chinese,4-year,New Hampshire,1
Donald Trump,51,male,chinese,No HS,Nevada,0
Donald Trump,67,male,other,Some college,North Carolina,1
Donald Trump,57,male,chinese,Some college,Montana,0
Joe Biden,52,male,chinese,No HS,Utah,0
Joe Biden,25,male,japanese,Some college,New Jersey,1
Joe Biden,50,male,pacific islander,Some college,Arizona,1
Donald Trump,97,male,asian,2-year,West Virginia,1
Joe Biden,59,male,black,High school graduate,Mississippi,0
Joe Biden,22,male,white,Post-grad,North Dakota,1
Donald Trump,91,male,black,Post-grad,Hawaii,0
Donald Trump,50,male,asian,Post-grad,New Hampshire,0
Joe Biden,37,male,japanese,Post-grad,Mississippi,0
Joe Biden,36,female,middle eastern,4-year,South Dakota,1
Joe Biden,74,female,japanese,Post-grad,Maryland,1
Joe Biden,23,female,black,No HS,Vermont,1
Donald Trump,67,female,asian,4-year,Utah,1
Donald Trump,35,female,black,4-year,Minnesota,1
Joe Biden,42,male,chinese,4-year,New York,1
Donald Trump,47,female,asian,4-year,New Jersey,0
Joe Biden,52,female,middle eastern,Some college,Vermont,1
Joe Biden,30,male,pacific islander,4-year,West Virginia,0
Donald Trump,99,female,middle eastern,High school graduate,Delaware,0
Donald Trump,19,male,native american,4-year,New Mexico,1
Joe Biden,73,male,pacific islander,2-year,New Hampshire,0
Joe Biden,29,male,asian,2-year,Iowa,1
Donald Trump,70,female,pacific islander,2-year,Wyoming,1
Joe Biden,39,male,middle eastern,2-year,Alabama,0
Joe Biden,82,male,native american,4-year,New Hampshire,1
Joe Biden,99,female,middle eastern,4-year,Arizona,1
Joe Biden,42,female,other,2-year,Maryland,1
Donald Trump,91,female,middle eastern,2-year,Georgia,0
Donald Trump,63,female,white,No HS,South Carolina,1
Donald Trump,22,male,middle eastern,Post-grad,Maine,1
Joe Biden,49,male,pacific islander,Post-grad,Colorado,0
Joe Biden,28,male,japanese,Some college,Washington,1
Joe Biden,54,male,hispanic,2-year,Rhode Island,0
Donald Trump,97,female,asian,Post-grad,New Hampshire,1
Joe Biden,59,male,middle eastern,2-year,Virginia,0
Donald Trump,61,female,hispanic,Post-grad,Mississippi,1
Joe Biden,36,male,white,Some college,Illinois,0
Joe Biden,37,female,asian,High school graduate,Hawaii,1
Joe Biden,44,female,chinese,4-year,Wyoming,0
Joe Biden,30,female,pacific islander,Post-grad,Montana,1
Donald Trump,62,male,middle eastern,4-year,Texas,0
Joe Biden,28,male,chinese,High school graduate,Connecticut,1
Joe Biden,85,male,middle eastern,2-year,Louisiana,0
Joe Biden,66,male,asian,2-year,Missouri,1
Donald Trump,78,male,other,Some college,Oklahoma,1
Joe Biden,81,male,asian,High school graduate,Missouri,1
Joe Biden,81,male,hispanic,Some college,Florida,1
Joe Biden,33,male,pacific islander,High school graduate,North Carolina,1
Joe Biden,48,female,middle eastern,4-year,Iowa,0
Donald Trump,95,female,other,Some college,Colorado,0
Joe Biden,18,female,white,2-year,Maine,1
Joe Biden,41,female,chinese,Post-grad,Kentucky,0
Donald Trump,35,female,asian,Post-grad,Vermont,1
Joe Biden,27,female,hispanic,No HS,Oklahoma,1
Joe Biden,49,female,white,4-year,New Jersey,1
Donald Trump,56,female,hispanic,Some college,Indiana,1
Joe Biden,32,male,chinese,4-year,Arkansas,0
Donald Trump,69,female,pacific islander,No HS,Oklahoma,0
Donald Trump,77,female,black,Some college,Alabama,1
Donald Trump,43,female,hispanic,2-year,Arkansas,1
Joe Biden,18,male,pacific islander,Some college,Washington,0
Joe Biden,37,male,chinese,2-year,Oklahoma,1
Donald Trump,59,male,asian,No HS,Illinois,1
Donald Trump,44,female,chinese,Post-grad,Georgia,1
Donald Trump,26,female,hispanic,No HS,Pennsylvania,1
Donald Trump,42,male,asian,High school graduate,Iowa,0
Joe Biden,37,female,chinese,No HS,California,0
Joe Biden,78,male,middle eastern,Some college,Alaska,1
Joe Biden,67,female,white,No HS,Alabama,0
Donald Trump,46,female,native american,High school graduate,Florida,0
Joe Biden,23,male,asian,No HS,New York,0
Joe Biden,38,female,chinese,Post-grad,Vermont,0
Joe Biden,54,female,asian,No HS,Nebraska,0
Donald Trump,60,male,white,No HS,Rhode Island,1
Joe Biden,83,female,middle eastern,No HS,Oklahoma,0
Donald Trump,32,male,white,4-year,Utah,0
Joe Biden,96,male,hispanic,2-year,Minnesota,1
Joe Biden,72,male,asian,2-year,Ohio,0
Donald Trump,44,female,pacific islander,Post-grad,Arizona,0
Donald Trump,99,female,asian,4-year,Nebraska,1
Donald Trump,20,female,middle eastern,Post-grad,Virginia,1
Joe Biden,59,female,middle eastern,Some college,Kentucky,1
Joe Biden,82,female,white,Post-grad,Kentucky,0
Joe Biden,67,female,hispanic,Some college,Louisiana,0
Donald Trump,86,male,japanese,No HS,Connecticut,1
Joe Biden,41,female,pacific islander,No HS,Hawaii,0
Donald Trump,66,female,other,No HS,South Dakota,0
Joe Biden,82,male,asian,No HS,Ohio,1
Joe Biden,48,female,native american,Post-grad,Pennsylvania,0
Donald Trump,90,female,white,4-year,Iowa,1
Joe Biden,71,male,pacific islander,Some college,Texas,1
Donald Trump,51,female,black,No HS,Louisiana,0
Joe Biden,79,male,white,Post-grad,Wisconsin,1
Donald Trump,89,female,japanese,High school graduate,Florida,1
Donald Trump,36,male,white,High school graduate,Hawaii,1
Donald Trump,25,female,pacific islander,High school graduate,Ohio,1
Joe Biden,67,male,asian,Post-grad,South Carolina,1
Joe Biden,63,male,hispanic,No HS,Colorado,1
Joe Biden,96,female,south asian,Post-grad,Kansas,0
Donald Trump,26,female,hispanic,2-year,North Dakota,1
Donald Trump,52,female,native american,No HS,Utah,0
Donald Trump,44,female,asian,2-year,Alaska,0
Joe Biden,62,male,pacific islander,4-year,Pennsylvania,0
Joe Biden,54,female,japanese,Some college,New York,0
Donald Trump,56,female,japanese,Some college,South Carolina,0
Joe Biden,79,female,other,2-year,Arkansas,0
Donald Trump,54,male,middle eastern,Post-grad,Utah,1
Joe Biden,18,female,white,2-year,Missouri,1
Joe Biden,26,male,japanese,Post-grad,Washington,0
Joe Biden,28,male,other,Post-grad,Alaska,1
Donald Trump,22,male,asian,Post-grad,Alaska,1
Donald Trump,59,female,chinese,4-year,New York,0
Joe Biden,55,male,asian,Post-grad,Idaho,0
Donald Trump,47,female,black,Some college,Vermont,1
Donald Trump,43,male,native american,High school graduate,Kentucky,0
Joe Biden,85,male,asian,4-year,Montana,1
Donald Trump,60,female,asian,Some college,California,1
Joe Biden,78,female,black,4-year,Nebraska,1
Donald Trump,88,male,black,2-year,South Carolina,1
Joe Biden,64,female,pacific islander,No HS,Vermont,0
Joe Biden,74,male,other,Some college,New Mexico,1
Donald Trump,63,male,asian,Some college,Idaho,1
Donald Trump,20,male,asian,No HS,Louisiana,1
Joe Biden,81,male,japanese,High school graduate,Texas,0
Donald Trump,93,female,asian,4-year,North Dakota,1
Donald Trump,51,female,japanese,Post-grad,Kentucky,0
Joe Biden,90,female,black,High school graduate,Illinois,0
Donald Trump,85,male,white,2-year,North Dakota,0
Donald Trump,79,female,chinese,2-year,Arkansas,1
Joe Biden,35,female,native american,Some college,Wisconsin,0
Donald Trump,55,female,chinese,No HS,New York,0
Joe Biden,92,female,japanese,Some college,Kansas,0
Joe Biden,52,female,native american,Post-grad,Washington,1
Joe Biden,52,male,asian,2-year,Alaska,1
Donald Trump,55,female,pacific islander,Some college,Alaska,1
Joe Biden,74,female,asian,High school graduate,Tennessee,0
Donald Trump,80,female,native american,4-year,Delaware,0
